temperature_c,humidity_pct,light_raw,label
24.0,18.0,575.0,suitable
24.0,19.0,565.83331,suitable
24.0,19.0,571.66663,suitable
24.0,19.0,572.5,suitable
24.0,40.0,570.0,suitable
24.0,42.0,570.83331,suitable
24.0,19.0,574.16663,suitable
24.0,18.0,570.0,suitable
24.0,18.0,573.33331,suitable
24.0,19.0,571.66663,suitable
24.0,18.0,570.83331,suitable
24.0,19.0,580.0,suitable
24.0,18.0,762.5,suitable
24.0,19.0,599.16663,suitable
24.0,19.0,530.83331,suitable
24.0,19.0,297.5,borderline
25.0,43.0,394.16666,suitable
25.0,21.0,435.83331,suitable
25.0,18.0,421.66666,suitable
24.0,27.0,42.5,unsuitable
24.0,19.0,58.33333,unsuitable
24.0,19.0,58.33333,unsuitable
24.0,19.0,56.66666,unsuitable
24.0,18.0,42.5,unsuitable
23.0,16.0,1.66667,unsuitable
24.0,18.0,5.0,unsuitable
24.0,18.0,3.33333,unsuitable
24.0,20.0,10.0,unsuitable
24.0,21.0,2.5,unsuitable
24.0,33.0,4.16667,unsuitable
24.0,18.0,4.16667,unsuitable
24.0,19.0,2.5,unsuitable
24.0,18.0,2.5,unsuitable
24.0,19.0,1.66667,unsuitable
24.0,18.0,2.5,unsuitable
24.0,18.0,2.5,unsuitable
24.0,19.0,5.0,unsuitable
24.0,19.0,6.66667,unsuitable
24.0,19.0,582.5,suitable
24.0,19.0,165.0,borderline
24.0,19.0,4.16667,unsuitable
24.0,19.0,4.16667,unsuitable
24.0,19.0,166.66666,borderline
24.0,18.0,70.0,unsuitable
24.0,19.0,5.0,unsuitable
25.0,18.0,5.83333,unsuitable
24.0,19.0,5.83333,unsuitable
24.0,18.0,6.66667,unsuitable
24.0,19.0,2.5,unsuitable
24.0,19.0,5.0,unsuitable
24.0,19.0,1.66667,unsuitable
24.0,19.0,1.66667,unsuitable
24.0,19.0,0.83333,unsuitable
24.0,19.0,1.66667,unsuitable
24.0,19.0,0.83333,unsuitable
24.0,19.0,0.83333,unsuitable
24.0,19.0,1.66667,unsuitable
24.0,19.0,1.66667,unsuitable
24.0,19.0,0.83333,unsuitable
24.0,19.0,340.83331,suitable
24.0,19.0,337.5,suitable
24.0,19.0,333.33331,suitable
24.0,19.0,331.66666,suitable
24.0,19.0,338.33331,suitable
24.0,19.0,336.66666,suitable
24.0,19.0,335.83331,suitable
24.0,19.0,334.16666,suitable
24.0,19.0,330.0,suitable
24.0,19.0,333.33331,suitable
24.0,19.0,332.5,suitable
24.0,19.0,326.66666,suitable
24.0,19.0,328.33331,suitable
24.0,19.0,328.33331,suitable
24.0,19.0,330.0,suitable
24.0,19.0,324.16666,suitable
24.0,19.0,312.5,suitable
24.0,19.0,328.33331,suitable
24.0,19.0,318.33331,suitable
24.0,19.0,312.5,suitable
24.0,19.0,318.33331,suitable
