entry_id,timestamp,temperature_c,humidity_pct,light_raw,label,light_band,install_recommended
1,2026-03-10T21:42:39Z,24.0,18.0,575.0,suitable,high,1
2,2026-03-10T21:43:00Z,24.0,19.0,565.83331,suitable,high,1
3,2026-03-10T21:43:22Z,24.0,19.0,571.66663,suitable,high,1
4,2026-03-10T21:43:43Z,24.0,19.0,572.5,suitable,high,1
5,2026-03-10T21:44:04Z,24.0,40.0,570.0,suitable,high,1
6,2026-03-10T21:44:25Z,24.0,42.0,570.83331,suitable,high,1
7,2026-03-10T21:44:46Z,24.0,19.0,574.16663,suitable,high,1
8,2026-03-10T21:45:07Z,24.0,18.0,570.0,suitable,high,1
9,2026-03-10T21:45:28Z,24.0,18.0,573.33331,suitable,high,1
10,2026-03-10T21:45:49Z,24.0,19.0,571.66663,suitable,high,1
11,2026-03-10T21:46:10Z,24.0,18.0,570.83331,suitable,high,1
12,2026-03-10T21:46:30Z,24.0,19.0,580.0,suitable,high,1
13,2026-03-10T21:46:52Z,24.0,18.0,762.5,suitable,high,1
14,2026-03-10T21:47:13Z,24.0,19.0,599.16663,suitable,high,1
15,2026-03-10T21:50:38Z,24.0,19.0,530.83331,suitable,high,1
16,2026-03-10T21:50:58Z,24.0,19.0,297.5,borderline,medium,0
17,2026-03-10T21:51:22Z,25.0,43.0,394.16666,suitable,high,1
18,2026-03-10T21:51:43Z,25.0,21.0,435.83331,suitable,high,1
19,2026-03-10T21:52:04Z,25.0,18.0,421.66666,suitable,high,1
20,2026-03-11T00:02:38Z,24.0,27.0,42.5,unsuitable,low,0
21,2026-03-11T00:02:59Z,24.0,19.0,58.33333,unsuitable,low,0
22,2026-03-11T00:03:20Z,24.0,19.0,58.33333,unsuitable,low,0
23,2026-03-11T00:03:41Z,24.0,19.0,56.66666,unsuitable,low,0
24,2026-03-11T00:04:02Z,24.0,18.0,42.5,unsuitable,low,0
25,2026-03-11T03:18:33Z,23.0,16.0,1.66667,unsuitable,low,0
26,2026-03-11T03:18:53Z,24.0,18.0,5.0,unsuitable,low,0
27,2026-03-11T03:19:14Z,24.0,18.0,3.33333,unsuitable,low,0
28,2026-03-11T03:19:35Z,24.0,20.0,10.0,unsuitable,low,0
29,2026-03-11T03:19:56Z,24.0,21.0,2.5,unsuitable,low,0
30,2026-03-11T03:20:19Z,24.0,33.0,4.16667,unsuitable,low,0
31,2026-03-11T03:20:42Z,24.0,18.0,4.16667,unsuitable,low,0
32,2026-03-11T03:21:03Z,24.0,19.0,2.5,unsuitable,low,0
33,2026-03-11T03:21:24Z,24.0,18.0,2.5,unsuitable,low,0
34,2026-03-11T03:21:45Z,24.0,19.0,1.66667,unsuitable,low,0
35,2026-03-11T03:22:06Z,24.0,18.0,2.5,unsuitable,low,0
36,2026-03-11T03:22:27Z,24.0,18.0,2.5,unsuitable,low,0
37,2026-03-11T03:22:56Z,24.0,19.0,5.0,unsuitable,low,0
38,2026-03-11T03:23:12Z,24.0,19.0,6.66667,unsuitable,low,0
39,2026-03-11T03:23:28Z,24.0,19.0,582.5,suitable,high,1
40,2026-03-11T03:23:44Z,24.0,19.0,165.0,borderline,medium,0
41,2026-03-11T03:24:00Z,24.0,19.0,4.16667,unsuitable,low,0
42,2026-03-11T03:24:17Z,24.0,19.0,4.16667,unsuitable,low,0
43,2026-03-11T03:24:34Z,24.0,19.0,166.66666,borderline,medium,0
44,2026-03-11T03:24:51Z,24.0,18.0,70.0,unsuitable,low,0
45,2026-03-11T03:25:08Z,24.0,19.0,5.0,unsuitable,low,0
46,2026-03-11T03:25:26Z,25.0,18.0,5.83333,unsuitable,low,0
47,2026-03-11T03:25:43Z,24.0,19.0,5.83333,unsuitable,low,0
48,2026-03-11T03:26:01Z,24.0,18.0,6.66667,unsuitable,low,0
49,2026-03-11T03:26:18Z,24.0,19.0,2.5,unsuitable,low,0
50,2026-03-11T03:26:38Z,24.0,19.0,5.0,unsuitable,low,0
51,2026-03-11T03:26:55Z,24.0,19.0,1.66667,unsuitable,low,0
52,2026-03-11T03:27:13Z,24.0,19.0,1.66667,unsuitable,low,0
53,2026-03-11T03:27:31Z,24.0,19.0,0.83333,unsuitable,low,0
54,2026-03-11T03:27:48Z,24.0,19.0,1.66667,unsuitable,low,0
55,2026-03-11T03:28:05Z,24.0,19.0,0.83333,unsuitable,low,0
56,2026-03-11T03:28:23Z,24.0,19.0,0.83333,unsuitable,low,0
57,2026-03-11T03:28:40Z,24.0,19.0,1.66667,unsuitable,low,0
58,2026-03-11T03:28:58Z,24.0,19.0,1.66667,unsuitable,low,0
59,2026-03-11T03:29:15Z,24.0,19.0,0.83333,unsuitable,low,0
60,2026-03-11T03:29:32Z,0.0,0.0,340.83331,invalid,high,0
61,2026-03-11T03:29:50Z,24.0,19.0,340.83331,suitable,high,1
62,2026-03-11T03:30:07Z,24.0,19.0,337.5,suitable,high,1
63,2026-03-11T03:30:25Z,24.0,19.0,333.33331,suitable,high,1
64,2026-03-11T03:30:42Z,24.0,19.0,331.66666,suitable,high,1
65,2026-03-11T03:31:00Z,24.0,19.0,338.33331,suitable,high,1
66,2026-03-11T03:31:17Z,24.0,19.0,336.66666,suitable,high,1
67,2026-03-11T03:31:35Z,24.0,19.0,335.83331,suitable,high,1
68,2026-03-11T03:31:53Z,24.0,19.0,334.16666,suitable,high,1
69,2026-03-11T03:32:10Z,24.0,19.0,330.0,suitable,high,1
70,2026-03-11T03:32:26Z,24.0,19.0,333.33331,suitable,high,1
71,2026-03-11T03:32:43Z,24.0,19.0,332.5,suitable,high,1
72,2026-03-11T03:33:01Z,24.0,19.0,326.66666,suitable,high,1
73,2026-03-11T03:33:18Z,24.0,19.0,328.33331,suitable,high,1
74,2026-03-11T03:33:36Z,24.0,19.0,328.33331,suitable,high,1
75,2026-03-11T03:33:53Z,24.0,19.0,330.0,suitable,high,1
76,2026-03-11T03:34:10Z,24.0,19.0,324.16666,suitable,high,1
77,2026-03-11T03:34:27Z,24.0,19.0,312.5,suitable,high,1
78,2026-03-11T03:34:44Z,24.0,19.0,328.33331,suitable,high,1
79,2026-03-11T03:35:02Z,24.0,19.0,318.33331,suitable,high,1
80,2026-03-11T03:35:19Z,24.0,19.0,312.5,suitable,high,1
81,2026-03-11T03:35:34Z,24.0,19.0,318.33331,suitable,high,1
